,Angle,Left Hip X,Left Hip Y,Right Hip X,Right Hip Y,Left Knee X,Left Knee Y,Right Knee X,Right Knee Y,Left Foot X,Left Foot Y,Right Foot X,Right Foot Y
157,147.0800876,0.417069256,0.432113379,0.421836138,0.432583451,0.497341722,0.62444675,0.511265099,0.611299813,0.515153289,0.62444675,0.511265099,0.939468026
158,134.2731137,0.412079096,0.475094944,0.416101396,0.478319854,0.506605685,0.623262584,0.514742136,0.614923418,0.511802077,0.623262584,0.514742136,0.93952626
159,122.1403946,0.410893977,0.518234313,0.406976372,0.520675898,0.51108104,0.62323302,0.514550567,0.614882112,0.511503339,0.62323302,0.514550567,0.939588249
160,110.6326652,0.404677391,0.546101868,0.399978876,0.546713769,0.512546659,0.62287426,0.516831398,0.615068972,0.506979465,0.62287426,0.516831398,0.939562976
161,100.1958536,0.391479075,0.568059087,0.392396331,0.578971028,0.508479238,0.62126565,0.516853929,0.616697371,0.504702568,0.62126565,0.516853929,0.939586639
162,98.39145754,0.389975786,0.566679239,0.384221405,0.57581085,0.507548928,0.614710748,0.514045417,0.61642158,0.496513307,0.614710748,0.514045417,0.93703568
163,111.2339758,0.384323418,0.529349267,0.386942148,0.534015596,0.5053581,0.614648223,0.5135023,0.612737298,0.497968912,0.614648223,0.5135023,0.921498775
164,137.4837989,0.390036881,0.448325127,0.393096477,0.446692884,0.488920599,0.60482794,0.504429698,0.609574318,0.515718699,0.60482794,0.504429698,0.922063529
165,149.7458127,0.396943271,0.38700825,0.399036974,0.367128342,0.483014345,0.597011209,0.493259102,0.600645542,0.519597173,0.597011209,0.493259102,0.921898961
166,161.9612256,0.413600445,0.352480114,0.422352791,0.334633261,0.473056078,0.590902209,0.482820094,0.596660495,0.518904328,0.590902209,0.482820094,0.919820905
167,168.0833932,0.432270616,0.341965616,0.438016325,0.341072917,0.468285412,0.580353081,0.47162208,0.590916336,0.518027186,0.580353081,0.47162208,0.923467159
168,172.1353132,0.451282978,0.327408582,0.457668602,0.298863262,0.469392866,0.568021536,0.473411024,0.591741621,0.516191006,0.568021536,0.473411024,0.929371536
169,175.2898144,0.463093817,0.304357439,0.469285965,0.264213294,0.46879524,0.574536443,0.473839045,0.592463732,0.51562053,0.574536443,0.473839045,0.933173478
170,175.3508049,0.471162736,0.34333095,0.466200769,0.32189396,0.471417516,0.589193165,0.46497649,0.593280613,0.511224627,0.589193165,0.46497649,0.938269138
171,171.2115225,0.456652701,0.359458417,0.45524773,0.341810822,0.472097456,0.617091596,0.469839811,0.599198997,0.509466588,0.617091596,0.469839811,0.942784965
172,170.8763468,0.460940361,0.366484493,0.459116638,0.350787193,0.47508806,0.614826322,0.473025143,0.607110322,0.509442866,0.614826322,0.473025143,0.945600152
173,170.8241227,0.458841026,0.368451685,0.458538771,0.349915713,0.475512832,0.614814222,0.473605961,0.607040286,0.509602427,0.614814222,0.473605961,0.944998503
174,171.9588345,0.455369651,0.324447751,0.462494373,0.322544366,0.472141743,0.613386691,0.4744564,0.604807854,0.508642375,0.613386691,0.4744564,0.94688189
175,168.5979364,0.434852511,0.340614855,0.460834652,0.323304564,0.470475197,0.607709408,0.475152254,0.60419178,0.509710968,0.607709408,0.475152254,0.946401358
176,168.8901041,0.435958087,0.33869347,0.46304661,0.328353405,0.470083892,0.603185833,0.478314221,0.604128301,0.509149194,0.603185833,0.478314221,0.94592452
177,170.674094,0.435379565,0.343747437,0.460946977,0.33848384,0.465221882,0.60264945,0.47818923,0.605142534,0.510177374,0.60264945,0.47818923,0.942960024
178,166.5557129,0.441156209,0.353006244,0.448281467,0.353236228,0.480234295,0.59817642,0.478221804,0.606463134,0.516132772,0.59817642,0.478221804,0.940908194
179,161.9100354,0.433123767,0.377200812,0.432530642,0.382425576,0.484430254,0.599293292,0.493322432,0.606930614,0.522969782,0.599293292,0.493322432,0.939986408
180,149.2685419,0.424139082,0.43010971,0.427694976,0.4420439,0.497864574,0.605017781,0.504757226,0.613797605,0.523412228,0.605017781,0.504757226,0.939950585
